Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Abolmaali,Seyedali:CE-2313-001-MECHANICS OF MATERIALS I"	Mean	4.4091	4.2273	4.5455	4.7	4.0455	4.3333
	N	22	22	22	20	22	21
"Abolmaali,Seyedali:CE-4325-001-FUND OF FINITE ELEMENT METHOD"	Mean	4.5	4.5	4.5	4.5	4	4.5
	N	2	2	2	2	2	2
"Abolmaali,Seyedali:CE-5303-001-INTRO TO FINITE ELEMENT"	Mean	4.25	4.25	4.5	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Abolmaali,Seyedali:CE-5303-002-INTRO TO FINITE ELEMENT"	Mean	3.3	2.9	3.9	4	3.3	2.8
	N	10	10	10	10	10	10
"Adam,Thomas:HIST-4356-001-IMPERIAL GERMANY, 1740-1914"	Mean	4.6154	4.4286	4.7857	4.8571	4.5714	4.4286
	N	13	14	14	14	14	14
"Adam,Thomas:HIST-4358-001-THE THIRD REICH: 1933-1945"	Mean	4.3333	4.4167	4.8333	4.9167	4.5	4.75
	N	12	12	12	12	12	12
"Adams,John:FINA-3313-002-BUSINESS FINANCE"	Mean	3.5294	3.303	3.6061	3.6364	4	3.2059
	N	34	33	33	33	34	34
"Adams,John:FINA-3313-003-BUSINESS FINANCE"	Mean	3.9545	3.6818	3.6591	4.3488	3.9545	3.4318
	N	44	44	44	43	44	44
"Adams,Phyllis:NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE (2108-84878)"	Mean	4.8235	4.8235	4.8235	4.8824	4.5294	4.8235
	N	17	17	17	17	17	17
"Adams,Phyllis:NURS-5631-061-ADV CLINICAL NURSING PRACTICUM"	Mean	3.3333	3.6667	4.3333	4	4	4.3333
	N	3	3	3	3	3	3
"Adegbola,Maxine:NURS-3337-002-INDEPENDENT STUDY"	Mean	4	4	5	4	5	4
	N	1	1	1	1	1	1
"Adegbola,Maxine:NURS-4350-009-BSN CAPSTONE"	Mean	3.5	4	4	4	4	4
	N	2	2	2	2	2	2
"Adegbola,Maxine:NURS-4351-003-BSN NURSING LEADERSHIP & MGMT"	Mean	4	3.6667	3.6667	4.3333	3.6667	3.6667
	N	3	3	3	3	3	3
"Adhikari,Kapil:PHYS-1441-014-GENERAL COLLEGE PHYSICS I"	Mean	4.5	4.4	4.25	4.4	4.4211	4.3684
	N	20	20	20	20	19	19
"Adhikari,Kapil:PHYS-1443-010-GENERAL TECHNICAL PHYSICS I"	Mean	3.6111	3.4444	3.6667	3.8333	3.2353	3.7778
	N	18	18	18	18	17	18
"Adkins,Camille:ENGL-3340-002-HIST AMER LIT"	Mean	4.2941	4.4118	4.5882	4.7059	4.2353	4.5294
	N	17	17	17	17	17	17
"Adkins,Camille:ENGL-3384-002-STRUC MOD ENGL"	Mean	4.0526	4.1667	4.3684	4.2632	3.9444	4
	N	19	18	19	19	18	19
"Adkins,Julie:ANTH-2322-002-GLOBAL CULTURE"	Mean	4.2424	4.0909	4.1515	4.4839	4.4375	4.1515
	N	33	33	33	31	32	33
"Adkins,Julie:ANTH-2322-003-GLOBAL CULTURE"	Mean	4.2105	4.2368	4.3684	4.5789	4.5526	4.3158
	N	38	38	38	38	38	38
"Adkins,Julie:ANTH-5310-001-HIST OF ANTHROPOLOGICAL THEORY"	Mean	4.1667	4.6667	5	5	4.8333	5
	N	6	6	6	6	6	6
"Adnan,Ashfaq:MAE-2312-001-SOLID MECHANICS (2108-84560)"	Mean	4	3.875	4.2	4.175	4.35	3.9
	N	40	40	40	40	40	40
"Agger,Ben:SOCI-3372-001-SOCIOLOGICAL THEORY"	Mean	4.125	4.1875	4.4375	4.5	4.4375	4.5625
	N	16	16	16	16	16	16
"Agger,Ben:SOCI-5301-001-SOCIOLOGICAL THEORY"	Mean	4.75	4.75	4.9375	4.875	4.9375	4.875
	N	16	16	16	16	16	16
"Agger,Ben:SOCI-5392-007-CONFERENCE COURSE IN SOCIOLOGY"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Agonafer,Dereje:MAE-3311-001-THERMODYNAMICS II"	Mean	3.9167	3.8056	4.25	4.0556	3.9143	4.0278
	N	36	36	36	36	35	36
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR"	Mean	3.6154	3.5385	3.9231	3.6154	3.8462	4
	N	13	13	13	13	13	13
"Agonafer,Dereje:ME-5352-001-FDMTLS ELECTRONIC PACKAGING"	Mean	4.5	4.6	4.7	4.5	4.7	4.5
	N	10	10	10	10	10	10
"Aguilar,Dolores:NURS-4465-201-RN-BSN VULNERABLE POPULATIONS"	Mean	4.75	4.6667	4.7083	4.8333	4.75	4.7917
	N	24	24	24	24	24	24
"Aguilar,Dolores:NURS-LL-1335-600-INTRO TO PROFESSIONAL NURSING"	Mean	4.5556	4.5556	4.4722	4.5	4.3714	4.5
	N	36	36	36	36	35	36
"Aguilar,Dolores:NURS-LL-1335-601-INTRO TO PROFESSIONAL NURSING"	Mean	4.5814	4.3488	4.3721	4.4186	4.3659	4.3571
	N	43	43	43	43	41	42
"Aguilar,Dolores:NURS-LL-1335-602-INTRO TO PROFESSIONAL NURSING"	Mean	4.52	4.52	4.52	4.6	4.4	4.56
	N	25	25	25	25	25	25
"Ahmad,Ishfaq:CSE-1311-003-INTRO PROGRAMMING ENGRS & SCI"	Mean	3	2.7	3.5667	3.3333	3.5172	2.4
	N	30	30	30	30	29	30
"Ahrens,Emily:MUSI-1185-001-SIGHTSINGING & EAR TRAIN I"	Mean	3.7895	3.5263	3.6842	3.7895	3.5789	3.4737
	N	19	19	19	19	19	19
"Ahrens,Emily:MUSI-1185-003-SIGHTSINGING & EAR TRAIN I"	Mean	4.1034	3.6897	3.8966	3.5862	3.7143	3.2759
	N	29	29	29	29	28	29
"Akalin,Gurkan:OPMA-3306-006-OPERATIONS MANAGEMENT"	Mean	4.3125	4.0937	4.2813	4.375	4.4375	4.2187
	N	32	32	32	32	32	32
"Akalin,Gurkan:OPMA-3306-008-OPERATIONS MANAGEMENT"	Mean	4.0938	3.6563	4.1875	4.1562	4.3125	3.875
	N	32	32	32	32	32	32
"Aktosun,Tuncay:MATH-6180-001-SEMINAR FOR SPECIAL PROJECTS"	Mean	5	4.5	4.625	4.75	4.625	4.5
	N	8	8	8	8	8	8
"Alaimo,Stacy:ENGL-3347-001-MULTICULTUR LIT"	Mean	4.4375	4.4375	4.6875	4.8125	4.5625	4.625
	N	16	16	16	16	16	16
"Alaimo,Stacy:ENGL-6370-001-TOPICS LITERATURE ENVIRONMENT (2108-80811)"	Mean	4.5556	4.6667	4.8889	5	4.7778	4.5556
	N	9	9	9	9	9	9
"Alaimo,Stacy:HUMA-5304-001-CULT STUDIES"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Alavi,Kambiz:EE-3308-001-ELECTROMAGNETICS II"	Mean	3.5263	2.8889	4.4444	3.4211	3.7778	3.3333
	N	19	18	18	19	18	18
"Alavi,Kambiz:EE-4328-002-CURRENT TOPICS ELECTRICAL ENGR"	Mean	4	4	4.375	4.5	4.3333	4.25
	N	9	8	8	8	9	8
"Alavi,Kambiz:EE-4329-001-PHYSICAL ELECTRONICS"	Mean	3.5714	3.7143	3.7143	3.7143	3.7143	3.1429
	N	7	7	7	7	7	7
"Alexandrakis,Georgios:BE-5327-003-TISSUE OPTICS"	Mean	4.25	4.25	4.25	4.625	4.625	4.5833
	N	24	24	24	24	24	24
"Alexandrowicz,Neal:GEOL-1426-001-EARTH HISTORY"	Mean	4.2308	3.8205	4	4.359	4.1795	4.1316
	N	39	39	39	39	39	38
"Allmond,Karen:EDUC-5397-105-IMPLMNT/DISEMINAT CLSRM RSRCH"	Mean	4	4	4	4	4	4
	N	3	3	3	3	3	3
"Altomare,Edwin:FINA-4315-003-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	4.4444	4.4167	4.4167	4.5833	4.4722	4.6389
	N	36	36	36	36	36	36
"Alverson,Michael:INSY-5350-001-HEALTH CARE INFO SYSTEMS"	Mean	4.625	4.5625	4.6129	4.6774	4.5161	4.5862
	N	32	32	31	31	31	29
"Amacher,Ryan:ECON-2306-007-PRIN MICRO ECO"	Mean	4.3137	3.9615	4.0385	4.1373	4.16	4.18
	N	51	52	52	51	50	50
"Amacher,Ryan:ECON-5313-003-MANAGERIAL ECONOMICS"	Mean	4.3243	4.1351	4	4.3243	4.0811	4.3056
	N	37	37	37	37	37	36
"Amah,Ifeoma:EDAD-5388-001-EDUC POLICY ISSUES"	Mean	2.625	2.25	2.625	2.25	3	2.125
	N	8	8	8	8	8	8
"Aman,Kelly:MATH-1302-004-COLLEGE ALGEBRA"	Mean	3.7813	3.75	3.6452	3.8438	3.6452	3.8065
	N	32	32	31	32	31	31
"Aman,Kelly:MATH-1302-007-COLLEGE ALGEBRA"	Mean	3.8163	3.4898	3.5306	3.8776	3.7708	3.5208
	N	49	49	49	49	48	48
"Amaro-Jimenez,Carla:BEEP-4311-001-MATH IN DUAL LANGUAGE SETTINGS"	Mean	4.9062	4.8788	4.7273	4.9091	4.9091	4.9394
	N	32	33	33	33	33	33
"Amaro-Jimenez,Carla:BEEP-4384-005-LIT METHODS ESL/BILING CLSRMS"	Mean	4.6923	4.7179	4.7895	4.8158	4.8974	4.8947
	N	39	39	38	38	39	38
"Amaro-Jimenez,Carla:BEEP-5318-001-FOUNDATIONS IN BILINGUAL EDUC"	Mean	4.7333	4.6667	4.8667	4.8667	5	4.8667
	N	15	15	15	15	14	15
"Ambartsoumian,Gaik:MATH-5392-001-SELECTED TOPICS IN MATH"	Mean	4.625	4.875	4.75	4.875	4.875	4.625
	N	8	8	8	8	8	8
