Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Abellanoza,Cheryl:PSYC-2443-004-RESEARCH DESIGN & STATISTICS I"	N	11	11	11	11	11	11
	Mean	3.8182	4.0909	3.7273	3.4545	4.3636	4
"Abolmaali,Seyedali:CE-5303-001-INTRODUCTION TO FINITE ELEMENT"	N	16	16	16	16	16	16
	Mean	4.1875	4.25	4.25	4.625	4.25	4.3125
"Abolmaali,Seyedali:CE-5303-002-INTRODUCTION TO FINITE ELEMENT"	N	2	2	2	2	2	2
	Mean	3.5	3.5	3	4	3.5	3.5
"Abouheaf,Mohammed Ibrahim K:EE-4314-001-CONTROL SYSTEMS"	N	11	11	11	11	9	11
	Mean	4.2727	4.3636	4.3636	4.4545	4.5556	4.2727
"Abouheaf,Mohammed Ibrahim K:EE-4314-101-CONTROL SYSTEMS"	N	1	1	1	1	1	1
	Mean	5	5	5	5	5	5
"Abouheaf,Mohammed Ibrahim K:EE-4314-102-CONTROL SYSTEMS"	N	3	3	3	3	3	3
	Mean	5	4.6667	5	5	5	5
"Abouheaf,Mohammed Ibrahim K:EE-4314-104-CONTROL SYSTEMS"	N	4	4	4	4	4	4
	Mean	4.25	4	4.75	4	3.75	4
"Abouheaf,Mohammed Ibrahim K:EE-4314-105-CONTROL SYSTEMS"	N	3	3	3	3	3	3
	Mean	4.3333	4.3333	4.3333	4.6667	3.6667	4.3333
"Adam,Thomas:HIST-6322-001-TRANSATLANTIC HIST POST 1800"	N	3	3	3	3	3	3
	Mean	4.6667	4.6667	4.6667	4.6667	4.6667	4.6667
"Adams,John:FINA-3313-002-BUSINESS FINANCE"	N	12	12	12	12	10	12
	Mean	3.9167	3.4167	3.8333	3.9167	3.8	3
"Adams,John:FINA-3313-003-BUSINESS FINANCE"	N	21	21	21	21	18	21
	Mean	4.0952	3.9524	3.7619	4.7619	4.1111	3.8571
"Adams,Phyllis:NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE"	N	17	17	16	17	17	17
	Mean	3.0588	3.5882	4.0625	3.4706	2.6471	3.1765
"Adams,Sandra:LIST-5325-001-UNDERSTANDING LIT RESEARCH"	N	4	4	4	4	4	4
	Mean	4.5	4.25	4.5	4.25	4.5	4
"Adkins,Julie:ANTH-1306-001-INTRO TO ANTHROPOLOGY"	N	32	32	32	32	28	31
	Mean	4.5313	4.375	4.4375	4.6562	4.4643	4.5806
"Adnan,Ashfaq:AE-5301-004 & ME-5390-007-ADV TOPICS AEROSPACE ENGR"	N	2	2	2	2	2	2
	Mean	4.5	4.5	4.5	4.5	4.5	4.5
"Adnan,Ashfaq:MAE-2312-002-SOLID MECHANICS"	N	26	26	26	26	25	26
	Mean	4.2692	4.2308	4.0769	4.3846	4.2	4.3462
"Adorno,Gail:SOCW-6317-001-DIRECT PRACTICE IN HEALTH CARE"	N	9	9	9	9	9	9
	Mean	4.2222	4	4.3333	4.5556	4.6667	4.4444
"Adorno,Gail:SOCW-6333-001-AGING IN AMERICAN SOCIETY"	N	13	13	13	13	13	13
	Mean	4.3077	4.7692	4.7692	4.6923	4.6923	4.6154
"Agger,Ben:SOCI-3372-001-SOCIOLOGICAL THEORY & HONR-LA-3304-003-SPECIAL TOPICS"	N	17	17	17	17	15	16
	Mean	4.5882	4.4706	4.8235	4.7647	4.6	4.625
"Agger,Ben:SOCI-5301-001-SOCIOLOGICAL THEORY"	N	7	7	7	7	7	7
	Mean	4.5714	4.5714	4.8571	4.8571	4.8571	4.7143
"Agonafer,Dereje:MAE-3311-001-THERMODYNAMICS II"	N	24	23	24	23	22	24
	Mean	2.75	2.6087	3.4167	2.3043	3.1364	2.7917
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR & ME-5352-001-FDMTLS ELECTRONIC PACKAGING"	N	14	15	14	15	15	15
	Mean	3.5	3.3333	3.5714	3.6667	3.4667	3.9333
"Aguilar,Bernadette:BIOL-1441-018-CELL MOL BIOL"	N	9	9	9	9	8	9
	Mean	4.5556	4.4444	4.4444	4.5556	4.125	4.4444
"Aguilar,Bernadette:BIOL-1441-024-CELL MOL BIOL"	N	6	6	6	6	6	6
	Mean	4.5	4.5	4.5	4.6667	4.5	4.6667
"Aguilar,Bernadette:BIOL-1441-028-CELL MOL BIOL"	N	6	6	6	6	6	6
	Mean	4.6667	4.5	4.6667	4.8333	4.8333	4.8333
"Aguilar,Dolores:FS-NURS-1300-601-INTRO TO PROFESSIONAL NURSING"	N	9	9	9	9	9	9
	Mean	4.4444	4.1111	4	4.1111	4.1111	4.4444
"Aguilar,Dolores:FS-NURS-1300-602-INTRO TO PROFESSIONAL NURSING"	N	11	11	11	10	10	10
	Mean	4.4545	4.7273	4.8182	4.7	4.5	4.5
"Aguilar,Dolores:NURS-4465-501-RN-BSN VULNERABLE POPULATIONS"	N	4.1623					
							
							
