Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Abolmaali,Seyedali:CE-2313-001-MECHANICS OF MATERIALS I"	Mean	4	3.7407	4.3333	4.4074	3.7778	3.5926
	N	26	27	27	27	27	27
"Abolmaali,Seyedali:CE-5351-001-ADVANCED THEORY OF STRUCTURES"	Mean	3.7273	3.7273	4.0909	4	4.0909	3.6364
	N	11	11	11	11	11	11
"Adam,Thomas:GERM 4322-001"	Mean	5	5	5	5	4.5	4
	N	2	2	2	2	2	2
"Adam,Thomas:HIST-4358-001-THE THIRD REICH: 1933-1945"	Mean	4.7692	4.4615	4.9231	4.9231	4.6923	4.6154
	N	13	13	13	13	13	13
"Adam,Thomas:HIST-6304-001-IDENTITIES & ENCOUNTERS"	Mean	4.75	5	5	5	4.875	5
	N	8	8	8	8	8	8
"Adams,Phyllis:NURS-5313-001-CLINICAL PROCEDURES AP NURSES"	Mean	3.8571	3.7143	3.7143	4	3.4286	3.8571
	N	7	7	7	7	7	7
"Adams,Phyllis:NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE (2102-22903)"	Mean	4.1	3.7	4.1	4.4211	3.8	4.0526
	N	20	20	20	19	20	19
"Adams,Phyllis:NURS-5430-001-FAMILY NURSING I (2102-22926)"	Mean	2.6842	2.4211	3.4211	2.9474	2.1765	2.5789
	N	19	19	19	19	17	19
"Adkins,Camille:ENGL-3384-002-STRUC MOD ENGL"	Mean	4.2222	4.3333	4.5882	4.5556	4.1111	4.4444
	N	18	18	17	18	18	18
"Adkins,Camille:ENGL-4366-002-YOUNG ADULT LIT"	Mean	4.3333	4.3333	4.5833	4.5	4.25	4.25
	N	12	12	12	12	12	12
"Agger,Ben:SOCI-4370-001-SENIOR RESEARCH SEMINAR"	Mean	4.875	5	5	5	5	5
	N	8	8	8	8	8	8
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR"	Mean	4.1111	4.3333	4.4444	4.25	4.25	4.375
	N	9	9	9	8	8	8
"Agonafer,Dereje:ME-5353-001-COMPUT TECHS ELEC PACKAGING"	Mean	4.4545	4.3182	4.5	4.5455	4.5455	4.5
	N	22	22	22	22	22	22
"Aguilar,Dolores:NURS-4465-201-RN-BSN VULNERABLE POPULATIONS"	Mean	4.2917	4.2692	4.4074	4.4	4.28	4.1481
	N	24	26	27	25	25	27
"Aguilar,Dolores:NURS-4465-500-RN-BSN VULNERABLE POPULATIONS (2102-22213)"	Mean	3.9545	4	4.2727	4.1429	4.0909	4.1818
	N	22	22	22	21	22	22
"Aguilar,Dolores:NURS-LL-1335-600-INTRO TO PROFESSIONAL NURSING"	Mean	4	4.5	4.5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Aguilar,Dolores:NURS-LL-1335-601-INTRO TO PROFESSIONAL NURSING"	Mean	4.6667	4.3333	4.3333	4.3333	4.6667	4.3333
	N	3	3	3	3	3	3
"Aguilar,Dolores:NURS-LL-1335-602-INTRO TO PROFESSIONAL NURSING"	Mean	4.6316	4.6316	4.4737	4.6316	4.4211	4.4737
	N	19	19	19	19	19	19
"Aguilar,Dolores:NURS-LL-1335-603-INTRO TO PROFESSIONAL NURSING"	Mean	4.0833	4.0833	4	4.1667	3.9167	4.0833
	N	12	12	12	12	12	12
"Aguirre,Regina:SOCW-3305-001-SOCIAL WORK RESEARCH"	Mean	3.871	4	4.3548	4.1875	4.5313	4.0312
	N	31	32	31	32	32	32
"Aguirre,Regina:SOCW-3305-002-SOCIAL WORK RESEARCH (2102-23222)"	Mean	4.3333	4.3333	4.5	4.5	4.3333	4.3333
	N	6	6	6	6	6	6
"Aguirre,Regina:SOCW-6348-001-SEM IN QUALITATV RSRCH MTHDS"	Mean	4.25	4.5	4.75	4.5	4.75	4.625
	N	8	8	8	8	8	8
"Ahmad,Ishfaq:CSE-1311-001-INTRO PROGRAMMING ENGRS & SCI"	Mean	3.0256	2.7949	3.5128	3.5128	3.6923	2.6579
	N	39	39	39	39	39	38
