Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Lacefield,Gary:BCOM-3360-002-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.6562	4.4688	4.5625	4.7187	4.4062	4.7188
	N	32	32	32	32	32	32
"Lacefield,Gary:BCOM-3360-003-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.4118	4.4545	4.4706	4.5588	4.5	4.625
	N	34	33	34	34	34	32
"Lacefield,Gary:BCOM-3360-004-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.7436	4.7949	4.7368	4.8462	4.6842	4.8462
	N	39	39	38	39	38	39
"Lacefield,Gary:BCOM-3360-005-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.3784	4.5556	4.5676	4.5946	4.4	4.6757
	N	37	36	37	37	35	37
"Lacefield,Gary:BCOM-3360-006-EFFECTIVE BUSINESS COMMUNICATI"	Mean	4.75	4.775	4.775	4.775	4.675	4.85
	N	40	40	40	40	40	40
"Lackner,Karl:HIST-4388-005-SEL TOP HIST"	Mean	4.3077	4.4615	4.2308	4.9231	4.5385	4.8462
	N	13	13	13	13	13	13
"Lakshminarayanan,R:MAE-2360-003-NUMERICAL ANALYSIS/PROGRAMMING"	Mean	2.5652	2.2727	3.5	2.8636	3.4783	2.0435
	N	23	22	22	22	23	23
"Lakshminarayanan,R:MAE-3310-001-THERMODYNAMICS I"	Mean	2.4889	1.9787	2.75	2.3125	3.125	1.8542
	N	45	47	48	48	48	48
"Lama,Ziwo:CHIN-1442-001-BEGINNING CHINESE II"	Mean	4.3	4.2	4.4	4.2	4.5	4.6
	N	10	10	10	10	10	10
"Lama,Ziwo:CHIN-2314-001-INTERMEDIATE CHINESE II"	Mean	3.875	3.125	4.125	4	4	3.5
	N	8	8	8	8	8	8
"Land,Christopher:THEA-1305-001-INTRO THEATRICAL DESIGN"	Mean	4.5789	4.3684	4.4211	4.5263	4.4737	4.4211
	N	19	19	19	19	19	19
"Land,Christopher:THEA-3303-001-SOUND DESIGN & TECHNOLOGY"	Mean	4.6667	4.25	4.5	4.5	4.4167	4.4167
	N	12	12	12	12	12	12
"Land,Laurie:THEA-0181-003-THEATRE PRACTICUM"	Mean	4.6875	4.8125	4.6875	4.625	4	4.875
	N	16	16	16	16	16	16
"Lange,Diane:MUSI-2112-001-INTRODUCTION TO MUSIC PEDAGOGY"	Mean	4.6786	4.8462	4.8571	4.9655	4.7931	4.8966
	N	28	26	28	29	29	29
"Lange,Diane:MUSI-4211-001-ELEMENTARY MUSIC"	Mean	5	4.9412	5	4.9444	5	5
	N	17	17	17	18	18	18
"Lange,Diane:MUSI-5363-001-RESEARCH IN MUSIC EDUCATION"	Mean	4.8889	4.5556	4.6667	4.7778	4.875	4.7778
	N	9	9	9	9	8	9
"Lapthisophon,Stephen:ART-3310-001-FILM AS ART"	Mean	4.1163	4.0465	4.4186	4.4419	4.2683	4.0465
	N	43	43	43	43	41	43
"Lapthisophon,Stephen:ART-3347-001-ADVANCED DRAWING"	Mean	4.2353	4.4706	4.6471	4.4706	4.5882	4.7059
	N	17	17	17	17	17	17
"Lapthisophon,Stephen:ART-5340-002-RESEARCH IN INTERMEDIA"	Mean	4	5	5	5	5	5
	N	2	2	2	2	2	2
"Larson,Chad:BIOL-2300-001-INTRODUCTION TO BIOSTATISTICS"	Mean	4.3944	3.8333	3.9296	4.25	4.3889	4.1389
	N	71	72	71	72	72	72
"Laster,Louis:SOCW-6338-001-SOCIAL SERVICES AND SOCIAL POL"	Mean	3.8333	4.1818	4.5833	4.0833	3.9167	4.1667
	N	12	11	12	12	12	12
"Lauster,Darryl:ART-4373-001-ADV 3D STUDIES"	Mean	5	4.875	4.875	5	4.875	5
	N	8	8	8	8	8	8
"Lauster,Darryl:ART-5340-001-RESEARCH IN INTERMEDIA"	Mean	5	5	4.8	5	5	5
	N	5	5	5	5	5	5
"Lavelle,James:MANA 5320 001"	Mean	4.4375	4.625	4.625	4.8	4.6875	4.9286
	N	16	16	16	15	16	14
"Lavelle,James:MANA 5330 001"	Mean	4.5652	4.7826	4.7826	4.5652	4.4783	4.7391
	N	23	23	23	23	23	23
"Lawrence,Kent:MAE-4344-001-COMPUTER-AIDED ENGINEERING"	Mean	4.5455	4.5312	4.3939	4.6667	4.697	4.7879
	N	33	32	33	33	33	33
"Lawrence,Kent:ME-5319-001-ADV FINITE ELEMENT METHODS"	Mean	4.6429	4.6429	4.7143	4.6429	4.7692	4.7692
	N	14	14	14	14	13	13
"Le,Chien:MARK-4311-002-MARKETING RESEARCH"	Mean	4.2857	4.5238	4.4762	4.619	4.381	4.7143
	N	21	21	21	21	21	21
"Lee,Joo:ECED-4319-001-OBSRV & ASESMNT OF EC-6 CHLDRN"	Mean	4.0526	3.85	4.1538	4.3	4.2308	3.775
	N	38	40	39	40	39	40
"Lee,Joo:ECED-4319-003-OBSRV & ASESMNT OF EC-6 CHLDRN"	Mean	4.4286	4.5238	4.5714	4.7143	4.6667	4.4762
	N	21	21	21	21	21	21
"Lee,Wei-Jen:EE-5378-001-POWER QUALITY"	Mean	4.1818	4	4.2727	4.5	4.5455	4.3636
	N	22	22	22	22	22	22
"Leffingwell,R:ECED-4687-015-RESIDENCY IN EC-6 EDUCATION"	Mean	5	5	5	5	5	5
	N	9	9	9	9	9	9
"Leffingwell,R:EDUC-4341-001-ORG & MGT SECONDARY INSTRUCT"	Mean	4.8125	4.875	4.9375	4.8125	4.9375	4.875
	N	16	16	16	16	16	16
"Leffingwell,R:EDUC-5305-001-CUR DESGN, IMPLMNTATION & EVAL"	Mean	4.15	4.2632	4.55	4.2	4.6842	4.3889
	N	20	19	20	20	19	18
"Lehmann,Peter:SOCW-2313-001-SW PRACTICE I"	Mean	4.4118	4.5882	4.8235	4.6471	4.4375	4.7059
	N	17	17	17	17	16	17
"Lei,Yu:CSE-6323-001-FORMAL METHODS SOFTWARE ENGR"	Mean	4.4444	4.3889	4.3889	4.5	4.4706	4.2778
	N	18	18	18	18	17	18
"Leininger,James:CE-1350-001-COMPUTER AIDED DRAFTING"	Mean	3.74	3.3922	3.38	3.9216	4.0204	3.4898
	N	50	51	50	51	49	49
"Leininger,James:CE-2210-001-DYNAMICS"	Mean	3.9474	3.6842	3.7368	3.8333	4	3.1579
	N	19	19	19	18	18	19
"Leininger,James:CE-2311-001-STATICS"	Mean	4.303	3.9706	4.1471	4.3235	4.0909	3.8235
	N	33	34	34	34	33	34
"Levine,Daniel:PSYC-2444-001-RESEARCH DSGN & STATS II"	Mean	3.6981	3.3208	3.4717	3.8868	3.9057	3.3585
	N	53	53	53	53	53	53
"Levine,Daniel:PSYC-3320-001-BEHAVIOR & MOTIVATION"	Mean	4.0741	3.6296	3.9259	4.1481	4.1852	3.8889
	N	27	27	27	27	27	27
"Levine,David:CSE-3322-001-COMPUTER ARCHITECTURE"	Mean	4.55	4.6	4.6	4.6	4.45	4.7
	N	20	20	20	20	20	20
"Levine,David:CSE-4322-001-SOFTWARE PROJECT MANAGEMENT"	Mean	4.1111	4.2222	4.3889	4.4444	4.2222	4.7778
	N	18	18	18	18	18	18
"Levine,David:CSE-5325-001-SFWR ENG II: MGMT, MAIN, & QA"	Mean	3.9286	3.8571	4.2143	4.1429	4.4286	4.0769
	N	14	14	14	14	14	13
"Lewis,Frank:EE-5329-001-TOPICS IN SYSTEMS"	Mean	4.3333	4.4	4.5714	4.8	4.6667	4.7333
	N	15	15	14	15	15	15
"Lewis,Matthew:PHYS-1441-001-GENERAL COLLEGE PHYSICS I"	Mean	4.3143	3.9444	4.2222	4.5	4.3611	4.2222
	N	35	36	36	36	36	36
"Lewis,Matthew:PHYS-1442-001-GENERAL COLLEGE PHYSICS II"	Mean	4.375	4.0417	4.25	4.4167	4.25	4.1304
	N	24	24	24	24	24	23
"Li,Chengkai:CSE-6339-002-SPEC TOPS ADV DATABASE SYS"	Mean	4.5	4.375	4.625	4.375	4.5	4.625
	N	8	8	8	8	8	8
"Li,Jianling:CIRP-5357-001-INTERMEDIATE GIS"	Mean	4.2727	4.2727	4.6364	4.1818	4.7	4.1
	N	11	11	11	11	10	10
"Li,Jianling:CIRP-5358-001-INTELL TRANS SYS & PLANNING"	Mean	4.3333	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Li,Qin:MATH-1302-007-COLLEGE ALGEBRA"	Mean	3.5714	3.3571	3.2	3.6667	4.1333	3.1333
	N	14	14	15	15	15	15
"Li,Ren-Cang:MATH-3330-001-MATRICES & LINEAR ALGEBRA"	Mean	3.8333	3.6333	3.8387	4.3226	4.2258	3.6452
	N	30	30	31	31	31	31
"Li,Ren-Cang:MATH-5392-007-SELECTED TOPICS IN MATH"	Mean	4.5	5	5	5	5	5
	N	2	2	2	2	2	2
"Li,Yan:MATH-3316-001-STATISTICAL INFERENCE"	Mean	3.9032	3.8387	4.0968	4.0968	4.2581	3.7742
	N	31	31	31	31	31	31
"Li,Yizeng:MATH-1303-006-TRIGONOMETRY"	Mean	4	3.6	4.3	4.5	4	3.6
	N	9	10	10	10	10	10
"Liang,Qilian:EE-5364-001-INFORMATION THEORY & CODING (2102-24864)"	Mean	4.1071	4.0357	3.8571	4.4286	4.1071	4.3214
	N	28	28	28	28	28	28
"Liang,Xiaoli:ECON-2306-003-PRIN MICRO ECO"	Mean	3.7857	2.5385	2.7692	3.8462	3.9231	2.8571
	N	14	13	13	13	13	14
"Liang,Xiaoli:ECON-2306-004-PRIN MICRO ECO"	Mean	3.9231	3.2917	3.3077	4	3.96	3.1667
	N	26	24	26	26	25	24
"Liang,Xiaoli:ECON-2306-006-PRIN MICRO ECO"	Mean	4.3333	3.1667	3.4444	4.1111	4.0556	3.3889
	N	18	18	18	18	18	18
"Liang,Xiaoli:ECON-2306-007-PRIN MICRO ECO"	Mean	4.0714	3.9286	3.5714	4.2143	3.9286	3.7143
	N	14	14	14	14	14	14
"Liao,Guojun:MATH-2425-004-CALCULUS II"	Mean	3.875	3.6	4	3.9375	4.0625	3.4
	N	16	15	16	16	16	15
"Liao,Guojun:MATH-5392-008-SELECTED TOPICS IN MATH"	Mean	4.75	5	4.75	4.75	5	5
	N	4	4	4	4	4	4
"Lieberman,Mary:SOCW-2311-001-INTRO SOC WORK"	Mean	4.7308	4.6154	4.6538	4.6923	4.5385	4.6538
	N	26	26	26	26	26	26
"Liegey-Dougall,Angela:PSYC 4357 001"	Mean	4.2258	3.7419	4	4.1935	4.2333	3.6129
	N	31	31	30	31	30	31
"Liegey-Dougall,Angela:PSYC 6300 001"	Mean	4.7778	4.5556	4.8889	4.8889	5	4.8889
	N	9	9	9	9	9	9
"Liggett,Ronnie:ECON-2337-001-ECONOMICS SOC ISSUES"	Mean	4.3	4.2667	4.1379	4.5	4.4333	4.4
	N	30	30	29	30	30	30
"Liggett,Ronnie:ECON-3302-001-THE ECONOMICS OF CRIME"	Mean	3.9818	4	3.9815	4.0189	3.9455	3.9074
	N	55	53	54	53	55	54
"Liggett,Ronnie:ECON-3302-002-THE ECONOMICS OF CRIME"	Mean	4	3.9032	4.0159	4.1639	4.129	4.0968
	N	63	62	63	61	62	62
"Liggett,Ronnie:ECON-3335-001-ECONOMICS OF PUBLIC POLICIES"	Mean	4.4528	4.3019	4.3585	4.3774	4.2453	4.4231
	N	53	53	53	53	53	52
