Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that helped me learn.	"The instructor helped me take a role in my own learning, by encouraging questions or other forms of participation as appropriate to the course."	The instructor was well prepared to teach each of the course's units / modules.	The instructor was available for consultation either in person or online.	The instructor is one whom I would recommend to other students.
"Abellanoza,Cheryl:PSYC-3334-001-COGNITIVE PROCESSES"	Mean	4.4615	4.2308	4.4103	4.3333	4.3333	4.1795
	N	39	39	39	39	39	39
"Abouheaf,Mohammed Ibrahim K:EE-4314-001-CONTROL SYSTEMS"	Mean	4.6667	4.5833	4.5833	4.75	4.5455	4.6667
	N	12	12	12	12	11	12
"Abouheaf,Mohammed Ibrahim K:EE-4314-101-CONTROL SYSTEMS"	Mean	4.4	4.4	4	4.6	4.75	4.4
	N	5	5	5	5	4	5
"Abouheaf,Mohammed Ibrahim K:EE-4314-102-CONTROL SYSTEMS"	Mean	5	4	5	4	5	4
	N	1	1	1	1	1	1
"Abouheaf,Mohammed Ibrahim K:EE-4314-103-CONTROL SYSTEMS"	Mean	4.6667	4.6667	4.6667	4.6667	4.3333	4.6667
	N	3	3	3	3	3	3
"Adam,Thomas:HIST-2302-001-HIST OF CIVILIZATION"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Adams,John:FINA-3313-004-BUSINESS FINANCE"	Mean	4.3488	4.2558	4.2381	4.5122	4.1795	4.0233
	N	43	43	42	41	39	43
"Adams,John:FINA-6312-001-SEMINAR THEORY OF INVESTMENTS"	Mean	5	5	5	4.75	5	5
	N	4	4	4	4	4	4
"Adams,Phyllis:NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE"	Mean	4.0556	4.1667	4.3333	4.3889	4.2353	4.1111
	N	18	18	18	18	17	18
"Adams,Phyllis:NURS-5430-001-FAMILY NURSING I"	Mean	4.4375	3.875	4.25	3.875	3.9375	4.0625
	N	16	16	16	16	16	16
"Adams,Sandra:LIST-5345-001-CONTENT AREA READNG & WRTNG"	Mean	4	4	4.4	4.2	4.4	4.4
	N	5	5	5	5	5	5
"Adkins,Julie:ANTH-1306-001-INTRO TO ANTHROPOLOGY"	Mean	4.0952	3.7619	3.75	4.381	3.85	4.0526
	N	21	21	20	21	20	19
"Adnan,Ashfaq:MAE-2312-002-SOLID MECHANICS"	Mean	4.625	4.6667	4.5417	4.5833	4.4167	4.75
	N	24	24	24	24	24	24
"Adorno,Gail:SOCW-6317-001-DIRECT PRACTICE IN HEALTH CARE"	Mean	4.4	4.4	4.6	4.1	4.8889	4.5
	N	10	10	10	10	9	10
"Agger,Ben:SOCI-3345-001-SOCIOLOGY OF THE 1960S & HONR-LA-3304-001-SPECIAL TOPICS"	Mean	4.2778	4.2941	4.5	4.5294	4.5882	4.3889
	N	18	17	18	17	17	18
"Agger,Ben:SOCI-5341-002-SEM IN THEORY & RESRCH METHODS"	Mean	4.8333	5	5	5	5	5
	N	6	6	6	6	6	5
"Agonafer,Dereje:AE-5101-001-GRADUATE SEMINAR"	Mean	3.25	2.75	2.75	2.75	2	3
	N	4	4	4	4	2	4
"Agonafer,Dereje:AE-5101-002-GRADUATE SEMINAR"	Mean	1					
	N	1					
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR"	Mean	3.6667	2.5	3	3.3333	4	3.6667
	N	3	2	2	3	1	3
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR and ME-5353-001-COMPUT TECHS ELEC PACKAGING (2132-1-0019)"	Mean	4.1053	4.2632	4.3684	4.4737	4.2105	4.3684
	N	19	19	19	19	19	19
"Agonafer,Dereje:ME-5101-001-GRADUATE SEMINAR"	Mean	3.7778	3.625	4.1111	2.75	3.625	3.5556
	N	9	8	9	8	8	9
"Agtarap,Phillippe:KINE-2420-003-INTRO TO ATHLETIC TRAINING"	Mean	4.8333	4.6667	4.8333	4.1667	4.6667	4.6667
	N	6	6	6	6	6	6
"Aguilar,Bernadette:BIOL-1441-005-CELL MOL BIOL"	Mean	4.6	4	4.4	4.2	4.2	4.6
	N	5	5	5	5	5	5
"Aguilar,Bernadette:BIOL-1441-010-CELL MOL BIOL"	Mean	3.8333	3.8333	4	4	3.8333	4
	N	6	6	6	6	6	6
"Aguilar,Dolores:FS-NURS-1300-600-INTRO TO PROFESSIONAL NURSING"	Mean	4.5294	4.2941	4.4706	4.3529	4.4667	4.4375
	N	17	17	17	17	15	16
"Aguilar,Dolores:FS-NURS-1300-602-INTRO TO PROFESSIONAL NURSING"	Mean	4.7143	4.1429	4.7143	4.5714	4.2857	4.7143
	N	7	7	7	7	7	7
"Aguilar,Dolores:NURS-4465-500-RN-BSN VULNERABLE POPULATIONS"	Mean	4.2286	4.2353	4.1714	4.2571	3.9091	4.0857
	N	35	34	35	35	33	35
"Aguilar,Dolores:NURS-5329-001-ROLE OF THE NURSE EDUCATOR"	Mean	3.5	4.125	4.125	4.375	4.5	4.125
	N	8	8	8	8	8	8
"Aguirre,Regina:SOCW-3301-004-HUM BEHAV I"	Mean	4.1667	4.1667	4.5	4.5	4.6667	4.1667
	N	6	6	6	6	6	6
"Aguirre,Regina:SOCW-3305-003-SOCIAL WORK RESEARCH"	Mean	4.2727	4.1	4	4.3333	4.1818	4
	N	11	10	10	9	11	11
"Aguirre,Regina:SOCW-5322-002/003-RESEARCH AND EVALUATION METHODS IN SOCIAL WORK I"	Mean	4.4444	4.1667	4.4444	4.6875	4.6471	4.1667
	N	18	18	18	16	17	18
"Ahmad,Ishfaq:CSE-1311-001-INTRO PROGRAMMING ENGRS & SCI"	Mean	3.2	2.4	3.2	2.9333	2.7857	2.0667
	N	15	15	15	15	14	15
"Ahmad,Ishfaq:CSE-4351-001 & CSE-5351-001-PARALLEL PROCESSING"	Mean	2.2	2.2	3	2.8	3.4	2.2
	N	5	5	5	5	5	5
"Ahuja,Pooja:CHEM-1441-101-GENERAL CHEMISTRY I"	Mean	4.5	4.25	4.0625	4.8125	4.1429	4.3125
	N	16	16	16	16	14	16
"Ahuja,Pooja:CHEM-1441-108-GENERAL CHEMISTRY I"	Mean	4.8462	4.5385	4.4615	4.9231	4	4.6154
	N	13	13	13	13	11	13
"Aktosun,Tuncay:MATH-5392-001-SELECTED TOPICS IN MATH"	Mean	3.3333	3.3333	3.6667	3.6667	3.3333	3.6667
	N	3	3	3	3	3	3
"Al Laymoun,Ola:INSY-2303-001-INTRO TO MIS/DATA PROCESSING"	Mean	4.1429	3.4286	3.7143	4.2857	4.1429	3.5714
	N	7	7	7	7	7	7
"Alaimo,Stacy:ENGL-2350-003-INTRO TO ANALYSIS & INTERP"	Mean	4.0714	3.7143	4	4.2857	4.2857	3.3077
	N	14	14	14	14	14	13
"Alaimo,Stacy:ENGL-5300-001-THEORY & PRAC ENGL STUDIES"	Mean	4.6667	4.4444	4.7778	5	4.4444	4.5556
	N	9	9	9	9	9	9
"Alameddin,Najia:ARAB-1441-001-BEGINNING ARABIC I"	Mean	4.3684	4.5263	4.5789	4.5263	4.5556	4.5789
	N	19	19	19	19	18	19
"Alameddin,Najia:ARAB-1442-001-BEGINNING ARABIC II"	Mean	4.1429	4	4.2143	4.0714	4.7857	4.4286
	N	14	14	14	14	14	14
"Alameddin,Najia:FREN-2313-032-INTERMEDIATE FRENCH I"	Mean	4.4286	4.4286	4.4286	4.4286	4.5714	4.5714
	N	7	7	7	7	7	7
"Alameddin,Najia:FREN-2314-032-INTERMEDIATE FRENCH II"	Mean	5	4.875	4.875	4.75	4.875	5
	N	8	8	8	8	8	8
"Alameddin,Najia:FREN-3310-001-INTRO TO LIT & FREN-4324-001-TOP 19TH CENT"	Mean	4.5	4.75	5	4.5	4.75	4.2857
	N	8	8	8	8	8	7
"Alavi,Kambiz:EE-2347-001-MATHEMATICAL FOUNDATIONS OF EE"	Mean	3.7143	3.4286	4	4	4.1667	3.8571
	N	7	7	7	7	6	7
"Alavi,Kambiz:EE-2347-102-MATHEMATICAL FOUNDATIONS OF EE"	Mean	4.8	4.8	5	5	5	5
	N	5	5	5	5	5	5
"Alavi,Kambiz:EE-4328-001-CURRENT TOPICS ELECTRICAL ENGR"	Mean	4.25	4.125	4.25	4.375	4.25	4.375
	N	8	8	8	8	8	8
"Alavi,Kambiz:EE-5339-001-TOPICS IN ELECTROMAGNETICS"	Mean	4	4	4	4	5	4
	N	1	1	1	1	1	1
"Albart,Molly:UNIV-1131-014-ISSUES IN COLLEGE ADJUSTMENT"	Mean	5	4.5	4.5	5	4.5	4.5
	N	2	2	2	2	2	2
"Alexander,Amanda:ART-3359-001-APPLY/ TEACH ART CURRICULA"	Mean	4.7647	4.6471	4.7059	4.8824	4.8824	4.8824
	N	17	17	17	17	17	17
"Alexander,Amanda:ART-4365-001-TECHNOLOGY IN ART EDUCATION"	Mean	4.8	4.75	4.75	4.875	4.875	4.875
	N	15	16	16	16	16	16
"Alexandrakis,Georgios:BE-5325-003-FLUORESCENCE MICROSCOPY"	Mean	4.4286	4.4286	4.7143	4.7143	4.7143	4.8571
	N	7	7	7	7	7	7
"Ali,Ahmed:MATH-1426-201-CALCULUS I"	Mean	3	3	2.8	2.8	2.8	2.6
	N	5	5	5	5	5	5
"Ali,Ahmed:MATH-1426-202-CALCULUS I"	Mean	4.25	4.25	4.25	4.25	4	4.25
	N	4	4	4	4	4	4
"Allen,Benjamin:BIOL-3457-002-GENERAL ECOLOGY"	Mean	3.2	3	3.4	3.4	3.8	3.4
	N	5	5	5	5	5	5
"Allen,Dustin:KINE-3315-005-PHYSIOLOGY OF EXERCISE"	Mean	4.5	4.625	4.2857	4.625	4.875	4.625
	N	8	8	7	8	8	8
"Allen,Dustin:KINE-3315-006-PHYSIOLOGY OF EXERCISE"	Mean	4.3333	4.3333	4.3333	4.3333	4.6667	4.3333
	N	3	3	3	3	3	3
"Allen,Dustin:KINE-4315-004-FITNESS ASSESSMENT/PROGRAMMING"	Mean	4.6667	4.6667	4.6667	4.8333	4.8333	4.6667
	N	6	6	6	6	6	6
"Allmond,Karen:MAED-5353-005-PROBABILITY & STATISTICS"	Mean	4.7273	4.5455	4.6591	4.5227	4.6905	4.6364
	N	44	44	44	44	42	44
"Allmond,Karen:MAED-5354-005-PROBLEM SOLVING"	Mean	4.7073	4.4146	4.6829	4.2927	4.725	4.561
	N	41	41	41	41	40	41
"Altomare,Edwin:FINA-4315-003-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	4.7059	4.6111	4.7222	4.8889	4.6471	4.8889
	N	17	18	18	18	17	18
"Amah,Ifeoma:EDAD-6308-001-QUAL RES DSGN & METHODS"	Mean	3.4286	3.2857	3.5714	4.2857	4.4286	4
	N	7	7	7	7	7	7
"Amah,Ifeoma:EDAD-6390-001-SEL TOP K-16 ED LDRSHP RES"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Amah,Ifeoma:EDAD-6392-002-SEL TOP K-16 ED POLICY RES"	Mean	2.6667	2	2.3333	2	2.3333	2.3333
	N	3	3	3	3	3	3
"Amaro-Jimenez,Carla:BEEP-4306-001-FAM LITERACY & 2ND LANG ACQUIS (2132-20009)"	Mean	4.65	4.6	4.65	4.7	4.75	4.8
	N	20	20	20	20	20	20
"Amaya,Miguel:MAE-1105-001-INTRO TO MECH & AERO ENGR"	Mean	4.5	4.1667	4.1667	4.5	4.4	4.3333
	N	6	6	6	6	5	6
"Amaya,Miguel:MAE-1105-002-INTRO TO MECH & AERO ENGR"	Mean	4.6	4.3	4.1111	4.4	4.2	4.3
	N	10	10	9	10	10	10
"Amaya,Miguel:MAE-1105-003-INTRO TO MECH & AERO ENGR"	Mean	4.5714	4.5714	4.5714	4.5714	4.6667	4.6667
	N	7	7	7	7	6	6
"Amaya,Miguel:MAE-1105-004-INTRO TO MECH & AERO ENGR"	Mean	4.6154	4.3846	4.4615	4.6923	4.3846	4.6154
	N	13	13	13	13	13	13
"Amaya,Miguel:MAE-1105-005-INTRO TO MECH & AERO ENGR"	Mean	4.7143	4.6429	4.5714	4.6154	4.4615	4.6429
	N	14	14	14	13	13	14
"Ambartsoumian,Gaik:MATH-3319-002-DIFF EQUATIONS/LINEAR ALGEBRA"	Mean	4.7059	4.5882	4.8235	4.8235	4.75	4.8235
	N	17	17	17	17	16	17
"Ambartsoumian,Gaik:MATH-5327-001-FUNCTIONAL ANALYSIS I"	Mean	4.7857	4.7143	4.8571	4.8571	4.7857	4.5
	N	14	14	14	14	14	14
"Anders,Michael:BIOL-2457-003-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.6	4.6	4.5	4.6	4.6	4.6
	N	10	10	10	10	10	10
"Anders,Michael:BIOL-2457-007-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4.6667	4.3333	4.6667	4.3333	4.3333	4.3333
	N	3	3	3	3	3	3
"Anderson,Cheryl:NURS-5301-003-RESEARCH IN NURSING"	Mean	4.6667	4.6667	4.5	4.6667	4.6667	4.5
	N	6	6	6	6	6	6
"Andrade,Brandi:THEA-1307-001-ACTING I: BASIC TECHNIQUES"	Mean	4.6667	4.5	4.8333	4.5	4.6	4.6667
	N	6	6	6	6	5	6
"Andrade,Brandi:THEA-1342-001-THEATRE & FILM APPRECIATION"	Mean	4.4483	4.1724	4.1429	4.5172	4.2222	4.4138
	N	29	29	28	29	27	29
"Andrade,Brandi:THEA-1342-002-THEATRE & FILM APPRECIATION"	Mean	4.8261	4.4348	4.3478	4.7391	4.3182	4.6818
	N	23	23	23	23	22	22
"Andrade,Brandi:THEA-1343-001-INTRODUCTION TO THEATRE"	Mean	3.6667	3.6667	3.8333	4.1667	3.6	4
	N	6	6	6	6	5	6
"Andrews,Carly:ACCT-2302-004-PRINCIPLES OF ACCOUNTING II"	Mean	4.3125	4.375	4.1875	4.1875	4.2667	4.3333
	N	16	16	16	16	15	15
"Andrews,Carly:ACCT-3311-002-FINANCIAL ACCOUNTING I (2132-22797)"	Mean	4.375	4.25	4.875	4.25	4.5714	4.5
	N	8	8	8	8	7	8
"Andrews,Michelle:MARK-3321-005-PRINCIPLES OF MARKETING"	Mean	4.6667	4.6667	4.8	4.8	4.5	4.8667
	N	15	15	15	15	14	15
"Anjomani,Ardeshir:CIRP-5309-001-TRANSPORTATION/LAND USE"	Mean	3.8333	3.5	3.8333	3.5	4.5	4.3333
	N	6	6	6	6	6	6
"Anjomani,Ardeshir:CIRP-6346-001 & URPA-6346-001-ADVANCED DATA ANALYSIS (2132-1-0105)"	Mean	3.6667	3.3333	3.5	3.1667	4.1667	3.3333
	N	6	6	6	6	6	6
"Appleton,Susan:INTD-3323-001-LIGHTING DESIGN"	Mean	4.2	4.4	4.8	4.4	4.75	4.8
	N	5	5	5	5	4	5
"Appleton,Susan:INTD-4563-001-DESIGN STUDIO: INTR DSGN IV"	Mean	4.2857	4	4.4286	4.2857	4.2857	4.2857
	N	7	7	7	7	7	7
"Arce,William:ENGL-2303-012-TOPICS IN LIT"	Mean	4.3333	4.4444	4.7778	4.6667	4.3333	4.4444
	N	9	9	9	9	9	9
"Arce,William:ENGL-3346-001-MEXICAN AMERICAN LITERATURE"	Mean	3.5385	4	4.0769	3.4615	3.6923	3.8462
	N	13	13	13	13	13	13
"Arce,William:MAS-2300-002-INTRO MEX AM ST"	Mean	3.8462	3.7308	3.8462	3.1923	4.1154	3.4615
	N	26	26	26	26	26	26
"Archibald,Daniel:THEA-1304-001-STAGECRAFT I"	Mean	3.25	3.5	3.25	3.75	3.75	3
	N	4	4	4	4	4	4
"Archibald,Daniel:THEA-1304-101-STAGECRAFT I"	Mean	4	4	5	5	5	4
	N	1	1	1	1	1	1
"Ardekani,Siamak:CE-4312-001-STREET AND HIGHWAY DESIGN"	Mean	4.45	4.45	4.3158	4.5	4.25	4.6
	N	20	20	19	20	20	20
"Ardekani,Siamak:CE-5332-001-HIGHWAY DESIGN"	Mean	5	4.8571	4.8571	4.8571	5	5
	N	7	7	7	7	7	7
"Ardekani,Siamak:CE-5332-002-HIGHWAY DESIGN"	Mean	4.6667	4.3333	3.5	4.6667	4.6667	4.6667
	N	3	3	2	3	3	3
"Arditi,David:INTS-4301-001-INTS RESEARCH PROCESS"	Mean	3.913	3.7391	4.2609	4.2609	4.7273	3.8696
	N	23	23	23	23	22	23
"Arditi,David:INTS-4301-003-INTS RESEARCH PROCESS"	Mean	4.0952	3.9524	4.381	4.5238	4.7	4.1905
	N	21	21	21	21	20	21
"Arditi,David:INTS-4395-002-INTERNSHIP"	Mean	5		5		5	5
	N	1		1		1	1
"Arellano,Miguel:MATH-1323-002-PRECALCULUS II"	Mean	3.75	3.3333	3.1667	3.6667	3.3333	3.4167
	N	12	12	12	12	12	12
"Armstrong,Daniel:CHEM-5305-001-SEPARATION SCIENCE"	Mean	4.5714	4.8571	4.7143	5	4.4286	5
	N	7	7	7	7	7	7
"Arnold,Patricia:SPAN-1442-014-BEGINNING SPANISH II"	Mean	4.2857	3.4286	3.8571	4	4.5	3.1429
	N	7	7	7	6	6	7
"Arnold,Patricia:SPAN-2313-008-INTERMEDIATE SPANISH I"	Mean	4.2	4.6	4.2	4	4.3333	3.8
	N	5	5	5	5	3	5
"Arnold,Patricia:SPAN-2313-010-INTERMEDIATE SPANISH I"	Mean	4.3571	3.3571	3.5	4.0769	4.25	3.1429
	N	14	14	14	13	12	14
"Arnold,Patricia:SPAN-2313-011-INTERMEDIATE SPANISH I"	Mean	4.1429	3.5714	3.5714	4.1429	4	3.4286
	N	7	7	7	7	6	7
"Arnold,Patricia:SPAN-2313-012-INTERMEDIATE SPANISH I"	Mean	3.8889	2.375	3	3	3.7778	2.25
	N	9	8	8	7	9	8
"Aroul,Ramya:FINA-3313-002-BUSINESS FINANCE"	Mean	4.25	4.0625	4.1875	4.25	4.2857	4.1875
	N	16	16	16	16	14	16
"Arrowood,Dana:EDTC-4301-001-TECHNOLOGY APPLICATIONS"	Mean	4	4	4	4.2	3.8	4
	N	5	5	5	5	5	5
"Arrowood,Dana:EDTC-4301-002-TECHNOLOGY APPLICATIONS"	Mean	4.6667	4.3333	4.3333	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Arrowood,Dana:EDTC-4301-003-TECHNOLOGY APPLICATIONS"	Mean	4.5	4.5	4.5	4.5	4.5	4.5
	N	6	6	6	6	6	6
"Arrowood,Dana:EDTC-4301-004-TECHNOLOGY APPLICATIONS"	Mean	4.75	4.75	4.75	5	4.6667	5
	N	4	4	4	4	3	4
"Arvidson,Enid:CIRP-5303-001-PLANNING HISTORY AND THEORY"	Mean	4.4444	4.1111	4.3333	4.3333	3.625	4.1111
	N	9	9	9	9	8	9
"Arvidson,Enid:CIRP-5332-002-PROJECT STUDIO"	Mean	3.5	3.1667	4	3.8333	4.2	4.1667
	N	6	6	6	6	5	6
"Ashmead,Ann:SOCW-6325-001-ADVANCED MICRO PRACTICE"	Mean	3.8889	4.1111	4.6111	4.4444	4.2353	4.2222
	N	18	18	18	18	17	18
"Asmus,Ashley:BIOL-3341-002-ENTOMOLOGY"	Mean	5	5	5	5	4.6	5
	N	5	5	5	5	5	5
"Asmus,Ashley:BIOL-3341-003-ENTOMOLOGY"	Mean	5	5	5	5	4.8	5
	N	5	5	5	5	5	5
"Aswath,Pranesh:MAE-4336-001 & MSE-5312-001-MECH BEHAV MATL"	Mean	3.375	3	3.875	4.125	3	3.1429
	N	8	8	8	8	6	7
