Prof_Course		Provided clearly defined expectations.	Used teaching methods that facilitated my own learning.	Encouraged me to take part in my own learning.	Was well prepared to take part in my own learning.	Was available outside of class either electronically or in person.	Is one whom I would recommend to other students.
"Adam,Thomas:HIST-4358-001-THE THIRD REICH: 1933-1945 and GERM-4314-001-GERMAN LANG & CULTURE II"	Mean	5	4.6	4.8	5	4.4	4.6
	N	5	5	5	5	5	5
"Adams,Phyllis:NURS-5431-001-FAMILY NURSING II"	Mean	3.6667	3.6667	3.9167	3.25	3.1667	3.75
	N	12	12	12	12	12	12
"Adams,Sandra:LIST-5362-001-LITERACY INSTR ESL/BIL SETTING"	Mean	5	4.6667	5	5	5	5
	N	3	3	3	3	3	3
"Adkins,Julie:ANTH-1306-001-INTRO TO ANTHROPOLOGY"	Mean	4.6667	4.6667	4.3333	4.6667	4.6667	4.6667
	N	3	3	3	3	3	3
"Adnan,Ashfaq:MAE-4342-001-MECHANICAL DESIGN II"	Mean	4.75	3.75	4.5	4.25	4.75	4.25
	N	4	4	4	4	4	4
"Agger,Ben:SOCI-3342-001-SOCIOLOGY OF THE HUMAN BODY"	Mean	4.6364	4.7273	4.8182	4.7273	4.9091	4.9091
	N	11	11	11	11	11	11
"Agonafer,Dereje:MAE-4301-001-SPEC TOPICS MECH & AERO ENGR"	Mean	4	4	4	3	3	3
	N	1	1	1	1	1	1
"Aguilar,Bernadette:BIOL-1433-002-INTRODUCTION TO BIOLOGY I"	Mean	3	3	3.5	3.5	4	2.5
	N	2	2	2	2	2	2
"Aguilar,Bernadette:BIOL-1441-003-CELL MOL BIOL"	Mean	1.5	1.5	3.5	1.5	2.5	1
	N	2	2	2	2	2	2
"Aguilar,Dolores:FS-NURS-1300-601-INTRO TO PROFESSIONAL NURSING"	Mean	4.4	4.5	4.5	4.5	4.1111	4.4
	N	10	10	10	10	9	10
"Aguilar,Dolores:NURS-4465-500-RN-BSN VULNERABLE POPULATIONS"	Mean	4.3571	4.1786	4.2857	4.2857	4.2083	4.1071
	N	28	28	28	28	24	28
"Aguirre,Regina:SOCW-3301-001-HUM BEHAV I"	Mean	4	3.8	3.8	3.6	3.4	3.6
	N	5	5	5	5	5	5
"Aguirre,Regina:SOCW-3305-002/003-SOCIAL WORK RESEARCH (2135-11W-0027)"	Mean	5	5	5	4.5	4.5	4.5
	N	2	1	1	2	2	2
"Ahuja,Pooja:CHEM-1441-101-GENERAL CHEMISTRY I"	Mean	3.6667	3.3333	4.3333	4	4	3
	N	3	3	3	3	2	2
"Aktosun,Tuncay:MATH-5380-001-SEMINAR"	Mean	4.8571	4.5714	4.7143	4.8571	4.8571	4.8571
	N	7	7	7	7	7	7
"Alaimo,Stacy:ENGL-6370-001-TOPICS LITERATURE ENVIRONMENT"	Mean	5	4	5	5	4.5	5
	N	2	1	2	2	2	2
"Alameddin,Najia:ARAB-1441-022-BEGINNING ARABIC I"	Mean	5	5	5	5	5	5
	N	5	5	5	5	5	5
"Alameddin,Najia:ARAB-1442-022-BEGINNING ARABIC II"	Mean	5	4.8	4.8	5	5	5
	N	5	5	5	5	5	5
"Alavi,Kambiz:EE-2347-001-MATHEMATICAL FOUNDATIONS OF EE"	Mean	4.1667	3.6667	3.8333	4	4	3.8333
	N	6	6	6	6	6	6
"Alavi,Kambiz:EE-2347-101-MATHEMATICAL FOUNDATIONS OF EE"	Mean	4.5	4.375	4.5	4.4286	4.25	4.625
	N	8	8	8	7	8	8
"Alavi,Kambiz:EE-2403-001-ELECTRONICS I"	Mean	4.5	4.1667	4.6667	3.6667	4.6	4
	N	6	6	6	6	5	6
"Alavi,Kambiz:EE-2403-101-ELECTRONICS I"	Mean	4.3333	4.3333	4.1667	3.8	4.5	4
	N	6	6	6	5	6	6
"Alexander,Amanda:ART-4392-002-SPECIAL STUDIES"	Mean	4.375	4.5	4.5	4.5	4.375	4.5
	N	8	8	8	8	8	8
"Ali,Ahmed:MATH-1426-101-CALCULUS I"	Mean	3.5	3.5	3.5	3	5	4.5
	N	2	2	2	2	1	2
"Allen,Dustin:KINE-1400-002-INTRO TO EXERCISE SCIENCE"	Mean	4.5556	4.3333	4.6667	4.4444	4.6667	4.8889
	N	9	9	9	9	9	9
"Altomare,Edwin:FINA-4315-001-ADVBUSINESS FINANCIAL ANALYSIS"	Mean	5	5	5	5	5	5
	N	2	2	2	2	1	2
"Amah,Ifeoma:EDAD-6390-001-SEL TOP K-16 ED LDRSHP RES"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Amaro-Jimenez,Carla:BEEP-5321-001-ESL METHODS FOR EC-6 LEARNERS"	Mean	4.5455	4.3636	4.3636	4.5455	4.5455	4.6364
	N	11	11	11	11	11	11
"Amaya,Miguel:MAE-1105-001-INTRO TO MECH & AERO ENGR"	Mean	4	4	4	5	4	4
	N	1	1	1	1	1	1
"Amaya,Miguel:MAE-2312-001-SOLID MECHANICS"	Mean	5	5	4	4	4	4
	N	1	1	1	1	1	1
"Anders,Michael:BIOL-2457-009-HUMAN ANATOMY & PHYSIOLOGY I"	Mean	4	3	4	4	5	4
	N	1	1	1	1	1	1
"Anderson,Cheryl:NURS-5301-003-RESEARCH IN NURSING"	Mean	4.3333	4.1667	4.5	4.6667	4.3333	4
	N	6	6	6	6	6	6
"Andrews,Carly:ACCT-5301-001-ACCOUNTING ANALYSIS I"	Mean	4.2222	4.4444	4.3333	4.4444	4.375	4.2222
	N	9	9	9	9	8	9
"Anjomani,Ardeshir:CIRP-5340-001-GIS AND SUITABILITY ANALYSIS"	Mean	2	1.5	2	2.5	4	2
	N	2	2	2	2	1	2
"Arditi,David:HONR-4303-001 & INTS-4388-001-SPC TOP INTERDISCIPLINARY STDY"	Mean	4.3333	4.3333	4.5	4.5	4.1818	4.3333
	N	12	12	12	12	11	12
"Arnold,Patricia:SPAN-2313-001-INTERMEDIATE SPANISH I"	Mean	2.5556	2.2222	2.4444	2.1111	2.6667	2.1111
	N	9	9	9	9	9	9
"Aroul,Ramya:FINA-5311-001-BUSINESS FINANCIAL MANAGEMENT"	Mean	5	4.8	5	4.8	5	5
	N	5	5	5	5	5	5
"Aroul,Ramya:FINA-5323-001-INVESTMENTS"	Mean	1.5	1.5	2	2	4	3
	N	2	2	2	2	2	1
"Arrowood,Dana:EDTC-4301-001-TECHNOLOGY APPLICATIONS"	Mean	4.3077	3.9231	3.7692	4.6154	3.75	4.3846
	N	13	13	13	13	12	13
"Arrowood,Dana:LIST-4376-001-ASSESSMENT IN LITERACY LRNG"	Mean	5	5	5	5	5	5
	N	6	6	6	6	6	6
"Arrowood,Dana:LIST-5350-001-LITERACY ASSESSMENT"	Mean	4	4.3333	4	4	4.3333	3.6667
	N	3	3	3	3	3	3
"Arrowood,Dana:LIST-5350-500-LITERACY ASSESSMENT"	Mean	4.2143	3.8095	4.1429	4.1951	4.0526	3.8571
	N	42	42	42	41	38	42
"Arvidson,Enid:SUPA-5301-001-URBAN POL & ECO"	Mean	5	4.5	5	4.5	4.5	4.5
	N	2	2	2	2	2	2
"Atha-Weldon,Cindy:INTS-4301-001-INTS RESEARCH PROCESS"	Mean	3.5	3.5	3.5	3.8333	4.5	3.3333
	N	6	6	6	6	6	6
"Atha-Weldon,Cindy:INTS-4391-001-INTERDISCIPLINARY CAPSTONE"	Mean	4.25	4.25	4.3333	4.6667	4.75	4.5
	N	4	4	3	3	4	4
"Athitsos,Vassilis:CSE-1310-001-INTRO COMPUTERS & PROGRAMMING"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Athitsos,Vassilis:CSE-4308-001 & CSE-5360-001-ARTIFICIAL INTELLIGENCE I"	Mean	4.5	4.5	4.75	5	4.5	4.5
	N	4	4	4	4	4	4
"Atkinson,Sean:MUSI-5308-001-MUSIC HISTORY SELECTED TOPICS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Atta-Fynn,Raymond:PHYS-1443-001-GENERAL TECHNICAL PHYSICS I"	Mean	4.3333	3.6667	3.6667	4	4.5	3.6667
	N	3	3	3	3	2	3
"Badon,Michelle:BIOL-2460-001-NURSING MICROBIOLOGY"	Mean	4.125	4	3.875	4.25	3.75	3.5714
	N	8	8	8	8	8	7
"Badon,Michelle:BIOL-2460-500-NURSING MICROBIOLOGY"	Mean	4	3.8333	3.6667	4	3.8	4
	N	6	6	6	5	5	5
"Badon,Michelle:BIOL-2460-501-NURSING MICROBIOLOGY"	Mean	3.7778	2.8889	3.2222	3.5714	3.1429	3.1429
	N	9	9	9	7	7	7
"Baggette,Wade:OPMA-3306-002-OPERATIONS MANAGEMENT"	Mean	3.9	4	4.1111	3.5	4	3.8
	N	10	10	9	10	9	10
"Baker,Harvy:MATH-1302-098-COLLEGE ALGEBRA"	Mean	3.5	2.5	2.5	4.5	3	3
	N	2	2	2	2	2	2
"Baker,Harvy:MATH-1308-001-ELEM STATISTICAL ANALYSIS"	Mean	3.3	3	3	3.2	3.2	3
	N	10	10	10	10	10	10
"Baker,Harvy:MATH-3314-001-DISCRETE MATHEMATICS"	Mean	3.2	3.2	3.2	3.6	3.8	3.2
	N	5	5	5	5	5	5
"Baker,Joy:NURS-5382-400-NURSING AND HEALTH CARE POLICY"	Mean	3.5333	3.4	3.6667	4.0714	3.9333	3.7143
	N	15	15	15	14	15	14
"Baker,Joyce:SPAN-1442-001-BEGINNING SPANISH II"	Mean	5	4	4	5	3	5
	N	1	1	1	1	1	1
"Baker,Revenor:BSTAT-5325-021-ADVANCED STATISTICAL METHODS"	Mean	3.6667	4	3.6667	4.1667	4.75	4
	N	6	6	6	6	4	6
"Baker,Revenor:OPMA-5361-001-OPERATIONS MANAGEMENT"	Mean	3.75	3.5	3.875	4.25	4	3.375
	N	8	8	8	8	8	8
"Baldwin,Janice:MANA-3318-001-MANA ORG BEHAV"	Mean	3.5	3.1667	4	4.8333	3.6	2.6667
	N	6	6	6	6	5	6
"Baldwin,Janice:MANA-3320-001-PER/HUM RES MGT"	Mean	3.6	3.6	3.6	4.6	3.2	3
	N	5	5	5	5	5	5
"Baptist,Georgetta:HCAD-5392-040-SPCL TOPICS"	Mean	3.5	3.25	3.25	2.6667	3.6667	3.25
	N	4	4	4	3	3	4
"Barasch,Linda:CSE-2315-001-DISCRETE STRUCTURES"	Mean	4.3333	4	4	4.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Barnes,Donelle:NURS-6390-017-TOPICS IN NURSING"	Mean	3.5	4	3	4	4	3
	N	2	2	2	2	2	2
"Barnett,Tracey:SOCW-3317-001-DIVERSE POPULATIONS"	Mean	4.6667	4	5	4.3333	5	4.6667
	N	3	3	3	3	2	3
"Barr,Wendy:NURS-5329-400-ROLE OF THE NURSE EDUCATOR"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Bashyal,Aarti:CHEM-1442-101-GENERAL CHEMISTRY II"	Mean	4.3333	3.8333	3.5	4.6667	4.75	4
	N	6	6	6	6	4	6
"Bateman,Oliver:HIST-1312-001-HISTORY OF U.S."	Mean	4.75	4.75	4.75	4.75	4.25	4.625
	N	8	8	8	8	8	8
"Bateman,Oliver:HIST-3300-001-INTRO TO HISTORICAL RESEARCH"	Mean	5	4.7143	4.8571	4.8571	4.5714	4.8571
	N	7	7	7	7	7	7
"Bautista,Mark:EDAD-5380-001-DIVERSITY AND EQUITY"	Mean	4.6667	4.3333	5	4.6667	4.6667	4.3333
	N	3	3	3	3	3	3
"Beach-Letendre,Joshuah:BIOL-2460-002-NURSING MICROBIOLOGY"	Mean	4.625	4.375	4.125	4.375	4.375	4.625
	N	8	8	8	8	8	8
"Beamon,Krystal:SOCI-1311-001-INTRO TO SOCIO"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Bechtel,Rudy:ADVT-3305-001-ADVERTISING MEDIA"	Mean	2.5	2.5	4.5	2.5	2.5	2.5
	N	2	2	2	2	2	2
"Becker,Eric:CSE-3392-101-SPECIAL TOPICS"	Mean	5	5	4.6667	5	5	5
	N	2	2	3	2	3	3
"Behan,Deborah:NURS-3321-600-NURSING RESEARCH"	Mean	3.0455	2.5455	3.2273	3.3182	3.381	2.7727
	N	22	22	22	22	21	22
"Behan,Deborah:NURS-4325-500-RN-BSN NURSING RESEARCH"	Mean	2.85	2.3902	3.122	3.1951	3.125	2.4167
	N	40	41	41	41	40	36
"Behan,Deborah:NURS-4325-501-RN-BSN NURSING RESEARCH"	Mean	2.9444	2.6389	3.1143	3.4571	3.4706	2.5429
	N	36	36	35	35	34	35
"Behan,Deborah:NURS-5301-001-RESEARCH IN NURSING"	Mean	4.75	4.25	4.75	4.75	4.75	4.5
	N	4	4	4	4	4	4
"Behan,Deborah:NURS-5301-002-RESEARCH IN NURSING"	Mean	4.3333	4	4	4	3.6667	3.3333
	N	3	3	3	3	3	3
"Bhan,Arunoday:CHEM-2182-002-ORGANIC CHEMISTRY II LAB"	Mean	3.3333	2.6667	3	2.6667	3.3333	2.3333
	N	3	3	3	3	3	3
"Bhawal,Ruchika:CHEM-1451-102-CHEMISTRY FOR HEALTH SCIENCES"	Mean	3	3	4	5	4	3
	N	1	1	1	1	1	1
"Bing,Robert:CRCJ-2334-002-INTRO CRJU SYS"	Mean	4.6	4.6	4.8	4.8	4.8	4.75
	N	5	5	5	5	5	4
